episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
148,-156.08482360839844,300,0.0,2,0,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
149,-50.894405364990234,300,0.5,2,4,0,1,0,1,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
150,-48.72706604003906,300,0.5,2,4,0,2,1,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
151,-120.3817138671875,300,0.375,2,3,0,16,1,17,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
152,-47.52970886230469,300,0.5,2,4,0,1,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
153,-111.47914123535156,300,0.125,2,1,1,4,1,6,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
154,-77.59262084960938,300,0.25,2,2,0,1,1,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
155,-89.93987274169922,300,0.25,2,2,2,0,1,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
156,-117.75521087646484,300,0.25,2,2,8,0,0,8,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
157,-110.94308471679688,300,0.125,2,1,0,2,0,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
158,-132.6381378173828,300,0.375,2,3,1,15,0,16,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
159,-72.3672866821289,300,0.5,2,4,0,6,0,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
160,-55.94034957885742,300,0.625,2,5,3,1,0,4,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
161,-144.11732482910156,300,0.375,2,3,1,6,6,13,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
162,-44.99869918823242,300,0.5,2,4,1,1,0,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
163,-69.2708511352539,300,0.25,2,2,0,2,0,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
164,-31.968826293945312,300,0.5,2,4,0,2,0,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
165,-92.2139892578125,300,0.625,2,5,3,1,3,7,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
166,-98.44601440429688,300,0.25,2,2,0,1,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
167,-114.20896911621094,300,0.25,2,2,9,1,0,10,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
168,-120.01509857177734,300,0.25,2,2,12,1,0,13,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
169,-110.65223693847656,300,0.25,2,2,2,5,0,7,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
170,-66.61954498291016,300,0.5,2,4,0,1,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
171,-127.00346374511719,300,0.0,2,0,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
172,-72.48193359375,300,0.375,2,3,1,2,0,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
173,-13.105867385864258,300,0.625,2,5,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
174,-60.289371490478516,300,0.5,2,4,2,4,0,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
175,-52.41735076904297,300,0.5,2,4,0,1,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
176,-101.34452056884766,300,0.25,2,2,1,5,0,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
177,-52.6925048828125,300,0.625,2,5,3,0,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
178,-47.86186218261719,300,0.625,2,5,0,1,1,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
179,-86.89363861083984,300,0.25,2,2,1,0,2,3,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
180,-102.05648803710938,300,0.25,2,2,2,1,1,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
181,-50.564117431640625,300,0.625,2,5,0,1,3,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
182,-124.3534164428711,300,0.5,2,4,12,3,1,16,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
183,-78.75359344482422,300,0.375,2,3,2,2,0,4,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
184,-122.02638244628906,300,0.25,2,2,8,2,0,10,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
185,-68.56351470947266,300,0.625,2,5,2,5,1,8,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
