episode,avg_reward,episode_length,high_priority_success,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,uav0_finish,uav1_finish,uav2_finish,uav3_finish
170,-104.04845428466797,300,0.5,10.108972549438477,17.68541717529297,18.385818481445312,6.904528617858887,2,0,0,300,-1,-1,300
171,-166.37234497070312,300,0.0,18.97334098815918,17.438003540039062,12.27474308013916,16.175167083740234,0,1,15,-1,-1,-1,-1
172,-136.77256774902344,300,0.0,19.3950138092041,20.129959106445312,19.942588806152344,16.129295349121094,0,7,2,-1,-1,-1,-1
173,-116.32025909423828,300,0.25,19.846546173095703,17.935794830322266,19.58952522277832,2.490262031555176,0,10,3,-1,-1,-1,300
174,-239.3739776611328,300,0.0,19.211380004882812,17.012557983398438,17.347015380859375,14.10815143585205,0,74,0,-1,-1,-1,-1
175,-71.540771484375,300,0.5,20.64945411682129,0.07263646274805069,17.397533416748047,2.4546332359313965,0,7,25,-1,300,-1,300
176,-167.78433227539062,300,0.0,19.668291091918945,17.027210235595703,20.04650115966797,20.16773796081543,0,10,9,-1,-1,-1,-1
177,-143.97344970703125,300,0.25,15.869959831237793,10.125489234924316,18.88278579711914,19.565284729003906,0,2,0,-1,300,-1,-1
178,-148.31512451171875,300,0.5,17.242172241210938,2.4217774868011475,17.536104202270508,1.1577554941177368,0,8,41,-1,36,-1,300
179,-169.60855102539062,300,0.25,20.335735321044922,14.862785339355469,16.375638961791992,3.993774175643921,0,25,0,-1,-1,-1,300
180,-188.79379272460938,300,0.5,7.880139350891113,19.040485382080078,16.40131950378418,1.5179120302200317,0,101,6,300,-1,-1,300
181,-160.49942016601562,300,0.0,17.923742294311523,17.368803024291992,18.46900749206543,18.90925407409668,0,11,0,-1,-1,-1,-1
182,-147.66482543945312,300,0.25,4.347231864929199,18.30189323425293,19.712430953979492,19.226411819458008,0,24,0,300,-1,-1,-1
183,-64.9067611694336,300,0.75,3.286336660385132,17.293289184570312,2.624255657196045,3.449208974838257,0,7,0,300,-1,300,300
184,-128.8200225830078,300,0.25,17.228759765625,19.73439598083496,17.503427505493164,4.564384937286377,0,12,0,-1,-1,-1,300
185,-104.65998077392578,300,0.5,18.85125732421875,6.522119522094727,19.739334106445312,2.1209514141082764,0,14,27,-1,300,-1,39
186,-61.60856628417969,300,0.5,2.5697736740112305,18.914466857910156,1.868095874786377,17.023351669311523,0,13,0,300,-1,300,-1
187,-127.75859069824219,300,0.0,18.791534423828125,19.726999282836914,19.62657928466797,20.197397232055664,0,0,2,-1,-1,-1,-1
188,-169.92919921875,300,0.0,17.35542106628418,19.314739227294922,14.913717269897461,19.649978637695312,0,7,0,-1,-1,-1,-1
